numElementos;tiempo 

1000;0
5000;16499900
10000;48808900
20000;79496800
1000;0
5000;17836600
10000;29984800
20000;86576400
1000;0
5000;10263900
10000;32704500
20000;86847800
1000;528200
5000;22804900
10000;33996900
20000;93886500
1000;1681000
5000;14204300
10000;43273700
20000;83162500
1000;0
5000;25203400
10000;47263600
20000;87051600
1000;5098500
5000;19235600
10000;40498200
20000;86642600
1000;5029300
5000;15760300
10000;25148300
20000;86731200
1000;0
5000;25514400
10000;30713600
20000;86407600
1000;0
5000;23910900
10000;43818500
20000;78726300
1000;0
5000;25147000
10000;30190900
20000;80908900
1000;4021200
5000;15014400
10000;39280500
20000;88634200
1000;4513800
5000;17645000
10000;38764200
20000;77014900
1000;2068300
5000;15533200
10000;39829500
20000;86928000
1000;4548600
5000;25690500
10000;40473000
20000;78547600
1000;1010700
5000;13049200
10000;34651700
20000;78156200
1000;13537700
5000;11775700
10000;38366400
20000;75113000
1000;6471000
5000;14510600
10000;37056200
20000;94130600
1000;2782800
5000;8396300
10000;33503900
20000;89459000
1000;5003000
5000;22008100
10000;26854100
20000;78209900
1000;10746700
5000;18231800
10000;27183200
20000;83744200
1000;0
5000;22420000
10000;34318500
20000;94410800
1000;2845700
5000;23641700
10000;31721800
20000;84574100
1000;0
5000;22710100
10000;27216400
20000;86758500
1000;0
5000;18683400
10000;29691600
20000;81164200
1000;0
5000;15684100
10000;41950900
20000;78881900
1000;723500
5000;13332700
10000;35853400
20000;80764900
1000;0
5000;17694700
10000;26679100
20000;82415200
1000;0
5000;9564500
10000;28801700
20000;81759500
1000;3218500
5000;21916800
10000;28381600
20000;80181600
